Resource Type,Arizona,California,Colorado,El Paso,Idaho,Nevada,Oregon,Utah,Washington,Western,Montana Western,New Mexico Western,Wyoming
coal,6.245,0.063,5.525,0.0,0.01,1.104,0.642,4.894,1.46,33.371,2.434,3.741,7.254
geothermal,0.0,1.322,0.0,0.0,0.0,0.383,0.0,0.0,0.0,1.705,0.0,0.0,0.0
hydro,2.912,13.801,1.178,0.0,2.543,1.052,8.451,0.262,21.437,54.686,2.665,0.082,0.303
ng,16.265,45.228,7.442,1.54,1.275,8.616,4.331,3.229,4.116,95.022,0.26,2.304,0.418
nuclear,4.21,2.323,0.0,0.0,0.0,0.0,0.0,0.0,1.2,7.733,0.0,0.0,0.0
other inc. biomass,0.1645,1.7715,0.2367,0.0,0.1349,0.0212,0.3522,0.0444,0.4999,3.384,0.0708,0.0824,0.006
solar,1.89,9.862,0.419,0.01,0.12,1.598,0.1,0.856,0.001,15.167,0.0,0.312,0.0
wind,0.267,5.671,3.027,0.0,0.974,0.15,3.161,0.388,3.074,19.486,0.657,0.629,1.487
