Resource Type,Arizona,California,Colorado,El Paso,Idaho,Nevada,Oregon,Utah,Washington,Western,Montana Western,New Mexico Western,Wyoming
coal,30.403,0.319,29.949,0.0,0.029,2.167,1.898,25.54,4.547,166.934,13.69,18.365,40.027
geothermal,0.0,11.457,0.0,0.0,0.0,3.353,0.0,0.0,0.0,14.81,0.0,0.0,0.0
hydro,7.226,28.682,1.608,0.0,9.033,1.789,34.549,0.76,78.343,173.194,10.083,0.148,0.973
ng,34.183,97.001,12.679,2.819,3.321,28.922,15.307,8.691,10.982,219.793,0.357,4.743,0.788
nuclear,32.377,18.908,0.0,0.0,0.0,0.0,0.0,0.0,9.626,60.911,0.0,0.0,0.0
other inc. biomass,0.266,8.207,0.223,1.089,0.597,0.088,1.046,0.782,2.545,16.193,0.801,0.07,0.479
solar,3.738,19.301,0.538,0.028,0.03,2.565,0.041,1.054,0.0,27.974,0.0,0.679,0.0
wind,0.542,13.442,9.421,0.0,2.578,0.344,7.157,0.822,8.042,50.505,2.04,1.728,4.389
