Resource Type,Coast,East,Far West,North,North Central,South,South Central,Texas,West
coal,2.737,8.145,0.0,0.72,2.858,1.032,5.318,20.81,0.0
geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydro,0.06,0.0,0.0,0.102,0.046,0.041,0.258,0.628,0.121
ng,21.128,3.194,2.751,2.257,14.883,5.731,9.757,60.958,1.257
nuclear,2.709,0.0,0.0,0.0,2.43,0.0,0.0,5.139,0.0
other inc. biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5866,0.0
solar,0.0,0.0,0.2,0.1,0.007,0.0,0.128,0.575,0.14
wind,0.0,0.0,3.189,2.516,1.831,4.206,0.0,18.941,5.605
