line,Capacity,hutil1,hutil0p9-1,hutil0p8-0p9,hutil0p75-0p8,hutil>=0p9,hutil>=0p8,hutil>=0p75,dist,zscore,pvalue
0,185,0,0,0,0,0,0,0,67.416,-5.473267562068049,0.9999999779093868
1,167,0,0,0,0,0,0,0,66.122,-5.473267562068049,0.9999999779093868
2,207,0,0,0,0,0,0,0,67.632,-5.473267562068049,0.9999999779093868
3,170,0,0,0,0,0,0,0,15.251,-5.473267562068049,0.9999999779093868
4,201,0,0,0,0,0,0,0,21.785,-5.473267562068049,0.9999999779093868
5,211,0,0,0,0,0,0,0,22.729,-5.473267562068049,0.9999999779093868
6,99999,0,0,0,0,0,0,0,0.0,-5.473267562068049,0.9999999779093868
7,195,0,0,0,0,0,0,0,30.631,-5.473267562068049,0.9999999779093868
8,99999,0,0,0,0,0,0,0,0.0,-5.473267562068049,0.9999999779093868
9,212,0,0,0,0,0,0,0,21.093,-5.473267562068049,0.9999999779093868
10,218,0,0,0,0,0,0,0,14.514,-5.473267562068049,0.9999999779093868
11,231,0,0,0,0,0,0,0,83.822,-5.473267562068049,0.9999999779093868
12,99999,0,0,0,0,0,0,0,0.0,-5.473267562068049,0.9999999779093868
13,229,0,0,0,0,0,0,0,33.13,-5.473267562068049,0.9999999779093868
14,184,0,0,0,0,0,0,0,32.586,-5.473267562068049,0.9999999779093868
15,197,0,0,0,0,0,0,0,12.305,-5.473267562068049,0.9999999779093868
16,214,0,0,0,0,0,0,0,32.039,-5.473267562068049,0.9999999779093868
17,473,0,0,0,0,0,0,0,0.0,-5.473267562068049,0.9999999779093868
18,1105,0,0,0,0,0,0,0,44.815,-5.473267562068049,0.9999999779093868
19,1237,0,0,0,0,0,0,0,25.846,-5.473267562068049,0.9999999779093868
20,236,0,0,0,0,0,0,0,3.142,-5.473267562068049,0.9999999779093868
21,239,0,0,0,0,0,0,0,67.889,-5.473267562068049,0.9999999779093868
22,99999,0,0,0,0,0,0,0,0.0,-5.473267562068049,0.9999999779093868
23,99999,0,0,0,0,0,0,0,0.0,-5.473267562068049,0.9999999779093868
24,245,0,0,0,0,0,0,0,62.98,-5.473267562068049,0.9999999779093868
25,250,0,0,0,0,0,0,0,11.449,-5.473267562068049,0.9999999779093868
26,263,0,0,0,0,0,0,0,18.122,-5.473267562068049,0.9999999779093868
27,445,0,0,0,0,0,0,0,0.0,-5.473267562068049,0.9999999779093868
28,1150,0,0,0,0,0,0,0,69.928,-5.473267562068049,0.9999999779093868
29,233,0,0,0,0,0,0,0,18.689,-5.473267562068049,0.9999999779093868
30,251,0,0,0,0,0,0,0,40.503,-5.473267562068049,0.9999999779093868
31,201,0,0,0,0,0,0,0,7.024,-5.473267562068049,0.9999999779093868
32,247,0,0,0,0,0,0,0,12.382,-5.473267562068049,0.9999999779093868
33,204,0,0,0,0,0,0,0,4.418,-5.473267562068049,0.9999999779093868
34,210,0,0,0,0,0,0,0,14.181,-5.473267562068049,0.9999999779093868
35,465,0,0,0,0,0,0,0,0.0,-5.473267562068049,0.9999999779093868
36,1205,0,0,0,0,0,0,0,25.563,-5.473267562068049,0.9999999779093868
37,1271,0,0,0,0,0,0,0,36.76,-5.473267562068049,0.9999999779093868
38,261,0,0,0,0,0,0,0,3.852,-5.473267562068049,0.9999999779093868
39,188,0,0,0,0,0,0,0,14.427,-5.473267562068049,0.9999999779093868
40,219,0,0,0,0,0,0,0,21.229,-5.473267562068049,0.9999999779093868
41,220,0,0,0,0,0,0,0,10.775,-5.473267562068049,0.9999999779093868
42,99999,0,0,0,0,0,0,0,0.0,-5.473267562068049,0.9999999779093868
43,209,0,0,0,0,0,0,0,11.023,-5.473267562068049,0.9999999779093868
44,199,0,0,0,0,0,0,0,21.429,-5.473267562068049,0.9999999779093868
45,99999,0,0,0,0,0,0,0,0.0,-5.473267562068049,0.9999999779093868
46,237,0,0,0,0,0,0,0,27.025,-5.473267562068049,0.9999999779093868
47,226,0,0,0,0,0,0,0,20.33,-5.473267562068049,0.9999999779093868
48,216,0,0,0,0,0,0,0,2.696,-5.473267562068049,0.9999999779093868
49,216,0,0,23,70,0,23,93,28.202,11.576358280276413,0.0
50,237,0,0,0,0,0,0,0,2.323,-5.473267562068049,0.9999999779093868
51,246,0,0,0,0,0,0,0,36.172,-5.473267562068049,0.9999999779093868
52,99999,0,0,0,0,0,0,0,0.0,-5.473267562068049,0.9999999779093868
53,99999,0,0,0,0,0,0,0,0.0,-5.473267562068049,0.9999999779093868
54,254,0,0,0,0,0,0,0,0.929,-5.473267562068049,0.9999999779093868
55,230,0,0,0,0,0,0,0,27.32,-5.473267562068049,0.9999999779093868
56,255,0,0,0,0,0,0,0,46.859,-5.473267562068049,0.9999999779093868
57,255,0,0,0,0,0,0,0,5.641,-5.473267562068049,0.9999999779093868
58,99999,0,0,0,0,0,0,0,0.0,-5.473267562068049,0.9999999779093868
59,243,0,0,0,0,0,0,0,8.087,-5.473267562068049,0.9999999779093868
60,245,0,0,0,0,0,0,0,12.983,-5.473267562068049,0.9999999779093868
61,236,0,0,14,60,0,14,74,11.04,8.093101387754427,3.3306690738754696e-16
62,270,0,0,0,0,0,0,0,25.354,-5.473267562068049,0.9999999779093868
63,241,0,0,0,0,0,0,0,16.718,-5.473267562068049,0.9999999779093868
64,265,0,0,0,0,0,0,0,0.897,-5.473267562068049,0.9999999779093868
65,99999,0,0,0,0,0,0,0,0.0,-5.473267562068049,0.9999999779093868
66,234,0,0,0,0,0,0,0,9.202,-5.473267562068049,0.9999999779093868
67,254,0,0,0,0,0,0,0,19.911,-5.473267562068049,0.9999999779093868
